站名,车站地址,铁路局,类别,性质,省,市,lng火星,lat火星,WGS84_Lng,WGS84_Lat,BD_Lng,BD_Lat
北京北站,北京市西城区北滨河路1号,北京铁路局, ,客运站,北京,西城区,116.35422,39.9422679999999,116.348024,39.940907,116.360650564981,39.9484102960809
八达岭站,北京市延庆县八达岭镇,北京铁路局, ,客运站,北京,延庆县,115.996281999999,40.358891,115.990108,40.357638,116.002656496045,40.3652263655432
延庆站,北京市延庆县妫水南街59号,北京铁路局, ,客运站,北京,延庆县,115.990967,40.4739799999999,115.984797,40.4727,115.997343695717,40.4803157632751
康庄站,北京市延庆县康庄站,北京铁路局, ,客运站,北京,延庆县,115.898507,40.3799629999999,115.892509,40.3788789999999,115.904913972299,40.386300985613
霸州站,河北省霸州市迎宾路火车站,北京铁路局, ,客运站,河北,廊坊,116.376222,39.122846,116.370092,39.121706,116.382661551391,39.1289686005311
保定东站,河北省保定市东风东路高铁保定东站,北京铁路局, ,客运站,河北,保定,115.60163,38.8641459999999,115.595701,38.863534,115.608102380756,38.8702569704811
板城,河北省保定市涞水县赵各庄镇板城火车站,北京铁路局, ,乘降所,河北,保定,115.256435,39.614009,115.250159999999,39.612848,115.26299757035,39.6197623484637
北屯,河北省保定市涞源县北屯火车站,北京铁路局, ,乘降所,新疆维吾尔自治区,阿勒泰,87.7617889999999,47.3231639999999,87.7585129999999,47.3220099999999,87.7681726546278,47.3293499991607
保定站,河北省保定市新华路118号,北京铁路局, ,客运站,河北,保定,115.479882,38.8634539999999,115.473619,38.8626009999999,115.486420124731,38.8694520051455
徐水站,河北省保定徐水县康明中路车站街12号,北京铁路局, ,客运站,河北,保定,115.638217,39.031429,115.632238,39.0306849999999,115.644657296313,39.0375654068357
泊头站,河北省泊头市胜利东路东端,北京铁路局, ,客运站,河北,沧州,116.586507,38.0616479999999,116.580935999999,38.0611269999999,116.593044765767,38.0675588615042
沧州西站,河北省沧州市沧县北京路西端头,北京铁路局, ,客运站,河北,沧州,116.767942,38.3069279999999,116.762051,38.306263,116.774544048527,38.3126750594603
